iteration,solve_time_s,cost,x1_0,x1_1,x2_0,x2_1,x3_0,x3_1,max_step,status
0,0.066350,4.459310,0.401223,0.984406,-0.907199,2.537257,-0.993675,3.900200,0.100000,optimal
1,0.010375,4.208594,0.302388,0.969190,-0.814009,2.573528,-0.980027,3.801136,0.100000,optimal
2,0.010217,4.024637,0.255685,0.907832,-0.720633,2.609318,-0.955265,3.704250,0.100000,optimal
3,0.010287,3.900684,0.253921,0.923409,-0.627920,2.646792,-0.920951,3.610322,0.100000,optimal
4,0.009743,3.790495,0.252444,0.939498,-0.536061,2.686312,-0.877427,3.520290,0.100000,optimal
5,0.009611,3.691076,0.252040,0.944727,-0.504679,2.694182,-0.825129,3.435056,0.100000,optimal
6,0.010071,3.594099,0.251829,0.947657,-0.485838,2.695111,-0.764580,3.355471,0.100000,optimal
7,0.009932,3.500420,0.251536,0.952030,-0.459712,2.700522,-0.696385,3.282331,0.100000,optimal
8,0.009890,3.411395,0.251180,0.957948,-0.428395,2.717179,-0.621226,3.216368,0.100000,optimal
9,0.009727,3.333785,0.251323,0.955476,-0.456182,2.747524,-0.539854,3.158241,0.100000,optimal
10,0.010122,3.310586,0.251481,0.952890,-0.507744,2.833205,-0.493251,3.130113,0.100000,optimal
11,0.009665,3.304634,0.251179,0.957962,-0.511733,2.933126,-0.491214,3.128961,0.100000,optimal
12,0.009800,3.296665,0.250947,0.962321,-0.505854,2.999966,-0.488184,3.127259,0.067098,optimal
13,0.025477,3.295569,0.250921,0.962846,-0.502066,2.999996,-0.489695,3.128106,0.003788,optimal
